pid,volume,image,pastorius_page_numbers,older_pastorius_page_numbers,type,secondary_type,toc_title,toc_link,section_title,secondary_section_title,tertiary_section_title,pastorius_section_header,pastorius_description,contents,notes,first_entry,last_entry,order,thumbnail,full,notes_DONOTUSE
toc2_236,2,246,,,Alvearium,,,,Numerical,Alphabetical Section Additions,,,,,,1211,1215,236,"https://stacks.stanford.edu/image/iiif/fm855tg5659%2F1607_0713/full/100,/0/default.jpg",https://stacks.stanford.edu/image/iiif/fm855tg5659%2F1607_0713/full/full/0/default.jpg,
toc2_237,2,247,,,Alvearium,,,,Numerical,Alphabetical Section Additions,,,,,,1216,1220,237,"https://stacks.stanford.edu/image/iiif/fm855tg5659%2F1607_0714/full/100,/0/default.jpg",https://stacks.stanford.edu/image/iiif/fm855tg5659%2F1607_0714/full/full/0/default.jpg,
toc2_238,2,248,,,Alvearium,,,,Numerical,Alphabetical Section Additions,,,,,,1221,1226,238,"https://stacks.stanford.edu/image/iiif/fm855tg5659%2F1607_0715/full/100,/0/default.jpg",https://stacks.stanford.edu/image/iiif/fm855tg5659%2F1607_0715/full/full/0/default.jpg,
toc2_239,2,249,,,Alvearium,,,,Numerical,Alphabetical Section Additions,,,,,,1226,1230,239,"https://stacks.stanford.edu/image/iiif/fm855tg5659%2F1607_0716/full/100,/0/default.jpg",https://stacks.stanford.edu/image/iiif/fm855tg5659%2F1607_0716/full/full/0/default.jpg,
toc2_240,2,250,,,Alvearium,,,,Numerical,Alphabetical Section Additions,,,,,,1231,1235,240,"https://stacks.stanford.edu/image/iiif/fm855tg5659%2F1607_0717/full/100,/0/default.jpg",https://stacks.stanford.edu/image/iiif/fm855tg5659%2F1607_0717/full/full/0/default.jpg,
toc2_241,2,251,,,Alvearium,,,,Numerical,Alphabetical Section Additions,,,,,,1236,1240,241,"https://stacks.stanford.edu/image/iiif/fm855tg5659%2F1607_0718/full/100,/0/default.jpg",https://stacks.stanford.edu/image/iiif/fm855tg5659%2F1607_0718/full/full/0/default.jpg,
toc2_242,2,252,,,Alvearium,,,,Numerical,Alphabetical Section Additions,,,,,,1241,1245,242,"https://stacks.stanford.edu/image/iiif/fm855tg5659%2F1607_0719/full/100,/0/default.jpg",https://stacks.stanford.edu/image/iiif/fm855tg5659%2F1607_0719/full/full/0/default.jpg,
toc2_243,2,253,,,Alvearium,,,,Numerical,Alphabetical Section Additions,,,,,,1246,1250,243,"https://stacks.stanford.edu/image/iiif/fm855tg5659%2F1607_0720/full/100,/0/default.jpg",https://stacks.stanford.edu/image/iiif/fm855tg5659%2F1607_0720/full/full/0/default.jpg,
toc2_244,2,254,,,Alvearium,,Alvearium: 1251 - 1510,Alvearium_1251_1510,Numerical,Alphabetical Section Additions,,,,,,1251,1255,244,"https://stacks.stanford.edu/image/iiif/fm855tg5659%2F1607_0721/full/100,/0/default.jpg",https://stacks.stanford.edu/image/iiif/fm855tg5659%2F1607_0721/full/full/0/default.jpg,
toc2_245,2,255,,,Alvearium,,,,Numerical,Alphabetical Section Additions,,,,,,1256,1260,245,"https://stacks.stanford.edu/image/iiif/fm855tg5659%2F1607_0722/full/100,/0/default.jpg",https://stacks.stanford.edu/image/iiif/fm855tg5659%2F1607_0722/full/full/0/default.jpg,
toc2_246,2,256,,,Alvearium,,,,Numerical,Alphabetical Section Additions,,,,,Some entry numbers are missing.,1261,1265,246,"https://stacks.stanford.edu/image/iiif/fm855tg5659%2F1607_0723/full/100,/0/default.jpg",https://stacks.stanford.edu/image/iiif/fm855tg5659%2F1607_0723/full/full/0/default.jpg,
toc2_247,2,257,,,Alvearium,,,,Numerical,Alphabetical Section Additions,,,,,Some entry numbers are missing.,1266,1270,247,"https://stacks.stanford.edu/image/iiif/fm855tg5659%2F1607_0724/full/100,/0/default.jpg",https://stacks.stanford.edu/image/iiif/fm855tg5659%2F1607_0724/full/full/0/default.jpg,
toc2_248,2,258,,,Alvearium,,,,Numerical,Alphabetical Section Additions,,,,,,1271,1275,248,"https://stacks.stanford.edu/image/iiif/fm855tg5659%2F1607_0725/full/100,/0/default.jpg",https://stacks.stanford.edu/image/iiif/fm855tg5659%2F1607_0725/full/full/0/default.jpg,
toc2_249,2,259,,,Alvearium,,,,Numerical,Alphabetical Section Additions,,,,,,1276,1280,249,"https://stacks.stanford.edu/image/iiif/fm855tg5659%2F1607_0726/full/100,/0/default.jpg",https://stacks.stanford.edu/image/iiif/fm855tg5659%2F1607_0726/full/full/0/default.jpg,
toc2_250,2,260,,,Alvearium,,,,Numerical,Alphabetical Section Additions,,,,,,1281,1285,250,"https://stacks.stanford.edu/image/iiif/fm855tg5659%2F1607_0727/full/100,/0/default.jpg",https://stacks.stanford.edu/image/iiif/fm855tg5659%2F1607_0727/full/full/0/default.jpg,
toc2_251,2,261,,,Alvearium,,,,Numerical,Alphabetical Section Additions,,,,,,1286,1290,251,"https://stacks.stanford.edu/image/iiif/fm855tg5659%2F1607_0728/full/100,/0/default.jpg",https://stacks.stanford.edu/image/iiif/fm855tg5659%2F1607_0728/full/full/0/default.jpg,
toc2_252,2,262,,,Alvearium,,,,Numerical,Alphabetical Section Additions,,,,,,1291,1295,252,"https://stacks.stanford.edu/image/iiif/fm855tg5659%2F1607_0729/full/100,/0/default.jpg",https://stacks.stanford.edu/image/iiif/fm855tg5659%2F1607_0729/full/full/0/default.jpg,
toc2_253,2,263,,,Alvearium,,,,Numerical,Alphabetical Section Additions,,,,,,1296,1300,253,"https://stacks.stanford.edu/image/iiif/fm855tg5659%2F1607_0730/full/100,/0/default.jpg",https://stacks.stanford.edu/image/iiif/fm855tg5659%2F1607_0730/full/full/0/default.jpg,
toc2_254,2,264,,,Alvearium,,,,Numerical,Alphabetical Section Additions,,,,,,1301,1305,254,"https://stacks.stanford.edu/image/iiif/fm855tg5659%2F1607_0731/full/100,/0/default.jpg",https://stacks.stanford.edu/image/iiif/fm855tg5659%2F1607_0731/full/full/0/default.jpg,
toc2_255,2,265,,,Alvearium,,,,Numerical,Alphabetical Section Additions,,,,,,1306,1310,255,"https://stacks.stanford.edu/image/iiif/fm855tg5659%2F1607_0732/full/100,/0/default.jpg",https://stacks.stanford.edu/image/iiif/fm855tg5659%2F1607_0732/full/full/0/default.jpg,
toc2_256,2,266,,,Alvearium,,,,Numerical,Alphabetical Section Additions,,,,,,1311,1315,256,"https://stacks.stanford.edu/image/iiif/fm855tg5659%2F1607_0733/full/100,/0/default.jpg",https://stacks.stanford.edu/image/iiif/fm855tg5659%2F1607_0733/full/full/0/default.jpg,
toc2_257,2,267,,,Alvearium,,,,Numerical,Alphabetical Section Additions,,,,,,1316,1320,257,"https://stacks.stanford.edu/image/iiif/fm855tg5659%2F1607_0734/full/100,/0/default.jpg",https://stacks.stanford.edu/image/iiif/fm855tg5659%2F1607_0734/full/full/0/default.jpg,
