pid,volume,image_number,head,entry,topic,first_letter,page,add,xref,see,index,item,unparsed,line,selection,full_image,annotation_uri,sort_value,insertion,thumbnail,label,location,issue,insertion_xref
index_0031,Volume 3,7,acidul[ae],<a href='/digital-beehive/num7/num_2583/'>1680 [Hot baths]</a>,,A,,,,,,#item-2efdddb3b,,Head: acidul[ae]|Entry: 1680 [Hot baths]|#item-2efdddb3b,"https://stacks.stanford.edu/image/iiif/gw497tq8651/1607_0950/164,2825,654,111/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/gw497tq8651/1607_0950/full/full/0/default.jpg,http://dev.llgc.org.uk/annotation/1491191575907,300712825,,"https://stacks.stanford.edu/image/iiif/gw497tq8651/1607_0950/164,2825,654,111/150,/0/default.jpg",acidul[ae],<a href='/digital-beehive/toc/toc3_07/'>Full Page</a>,,
index_0032,Volume 3,7,acknowledgmt,<a href='/digital-beehive/num2/num_0418/'>354 [To acknowledge]</a>,,A,,,,,,#item-d18b0fb9a,,Head: acknowledgmt|Entry: 354 [To acknowledge]|#item-d18b0fb9a,"https://stacks.stanford.edu/image/iiif/gw497tq8651/1607_0950/164,2913,632,164/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/gw497tq8651/1607_0950/full/full/0/default.jpg,http://dev.llgc.org.uk/annotation/1564759979524,300712913,,"https://stacks.stanford.edu/image/iiif/gw497tq8651/1607_0950/164,2913,632,164/150,/0/default.jpg",acknowledgmt,<a href='/digital-beehive/toc/toc3_07/'>Full Page</a>,,
index_0033,Volume 3,7,acorns,<a href='/digital-beehive/num6/num_2085/'>1431 [Acorns]</a>,,A,,,,,,#item-e97b77199,,Head: acorns|Entry: 1431 [Acorns]|#item-e97b77199,"https://stacks.stanford.edu/image/iiif/gw497tq8651/1607_0950/166,3051,469,83/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/gw497tq8651/1607_0950/full/full/0/default.jpg,http://dev.llgc.org.uk/annotation/1491191607454,300713051,,"https://stacks.stanford.edu/image/iiif/gw497tq8651/1607_0950/166,3051,469,83/150,/0/default.jpg",acorns,<a href='/digital-beehive/toc/toc3_07/'>Full Page</a>,,
index_0034,Volume 3,7,acquaintance,<a href='/digital-beehive/num1/num_0087/'>86 [Acquaintance]</a>,,A,,,,,,#item-d8fe32c06,,Head: acquaintance|Entry: 86 [Acquaintance]|#item-d8fe32c06,"https://stacks.stanford.edu/image/iiif/gw497tq8651/1607_0950/160,3133,642,151/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/gw497tq8651/1607_0950/full/full/0/default.jpg,http://dev.llgc.org.uk/annotation/1564760037064,300713133,,"https://stacks.stanford.edu/image/iiif/gw497tq8651/1607_0950/160,3133,642,151/150,/0/default.jpg",acquaintance,<a href='/digital-beehive/toc/toc3_07/'>Full Page</a>,,
index_0035,Volume 3,7,acquittance,857 [PAGE_MISSING],,A,,,,<a href='/digital-beehive/index4/index_2757/'>obliga[ti]on</a>,,#item-e23e0abc9,,Head: acquittance|Entry: 857 [PAGE_MISSING]|See: obliga[ti]on|#item-e23e0abc9,"https://stacks.stanford.edu/image/iiif/gw497tq8651/1607_0950/159,3219,741,175/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/gw497tq8651/1607_0950/full/full/0/default.jpg,http://dev.llgc.org.uk/annotation/1564760121978,300713219,,"https://stacks.stanford.edu/image/iiif/gw497tq8651/1607_0950/159,3219,741,175/150,/0/default.jpg",acquittance,<a href='/digital-beehive/toc/toc3_07/'>Full Page</a>,,
index_0036,Volume 3,7,acrosticks,4572 [PAGE_MISSING],,A,,,,,,#item-c79b67f87,,Head: acrosticks|Entry: 4572 [PAGE_MISSING]|#item-c79b67f87,"https://stacks.stanford.edu/image/iiif/gw497tq8651/1607_0950/174,3301,466,107/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/gw497tq8651/1607_0950/full/full/0/default.jpg,http://dev.llgc.org.uk/annotation/1564760220536,300713301,,"https://stacks.stanford.edu/image/iiif/gw497tq8651/1607_0950/174,3301,466,107/150,/0/default.jpg",acrosticks,<a href='/digital-beehive/toc/toc3_07/'>Full Page</a>,,
index_0037,Volume 3,7,activity,<a href='/digital-beehive/num3/num_1020/'>703 [Nimble]</a>,,A,,,,,,#item-950468af1,,Head: activity|Entry: 703 [Nimble]|#item-950468af1,"https://stacks.stanford.edu/image/iiif/gw497tq8651/1607_0950/166,3349,463,131/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/gw497tq8651/1607_0950/full/full/0/default.jpg,http://dev.llgc.org.uk/annotation/1564760322766,300713349,,"https://stacks.stanford.edu/image/iiif/gw497tq8651/1607_0950/166,3349,463,131/150,/0/default.jpg",activity,<a href='/digital-beehive/toc/toc3_07/'>Full Page</a>,,
index_0038,Volume 3,7,action,<a href='/digital-beehive/num11/num_3486/'>4793 [Action]</a>,,A,,,,,,#item-4dabfa3ff,,Head: action|Entry: 4793 [Action]|#item-4dabfa3ff,"https://stacks.stanford.edu/image/iiif/gw497tq8651/1607_0950/179,3409,489,117/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/gw497tq8651/1607_0950/full/full/0/default.jpg,http://dev.llgc.org.uk/annotation/1564760382090,300713409,,"https://stacks.stanford.edu/image/iiif/gw497tq8651/1607_0950/179,3409,489,117/150,/0/default.jpg",action,<a href='/digital-beehive/toc/toc3_07/'>Full Page</a>,,
index_0039,Volume 3,7,Adam,<a href='/digital-beehive/num2/num_0472/'>389 [Adam]</a>|<a href='/digital-beehive/num9/num_3065/'>2125 [Adam]</a>,,A,,<a href='/digital-beehive/index4/index_2783/'>Old</a>,,,,#item-c16b7ec8c,,Head: Adam|Entry: 389 [Adam]|Entry: 2125 [Adam]|Add: Old|#item-c16b7ec8c,"https://stacks.stanford.edu/image/iiif/gw497tq8651/1607_0950/161,3443,624,169/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/gw497tq8651/1607_0950/full/full/0/default.jpg,http://dev.llgc.org.uk/annotation/1564760426332,300713443,,"https://stacks.stanford.edu/image/iiif/gw497tq8651/1607_0950/161,3443,624,169/150,/0/default.jpg",Adam,<a href='/digital-beehive/toc/toc3_07/'>Full Page</a>,,
index_0040,Volume 3,7,addition,<a href='/digital-beehive/num3/num_0842/'>624 [Addition]</a>,,A,,,,,,#item-fcc96eba0,,Head: addition|Entry: 624 [Addition]|#item-fcc96eba0,"https://stacks.stanford.edu/image/iiif/gw497tq8651/1607_0950/851,232,555,140/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/gw497tq8651/1607_0950/full/full/0/default.jpg,http://dev.llgc.org.uk/annotation/1564760551968,300720232,,"https://stacks.stanford.edu/image/iiif/gw497tq8651/1607_0950/851,232,555,140/150,/0/default.jpg",addition,<a href='/digital-beehive/toc/toc3_07/'>Full Page</a>,,
